URL,Title,Visit Time,Visit Count,Visited From,Visit Type,Web Browser,User Profile,Browser Profile,URL Length,Typed Count
http://nga.178.com/read.php?tid=11453918,最近洋垃圾g5有人买没？,2018/5/17 20:16:25,1,,Link,Chrome,mayu2,Default,40,0
https://bbs.hupu.com/18537015.html,有人买过淘宝上这种洋垃圾的服务器吗？ - 步行街主干道 - 虎扑社区,2018/5/17 20:16:18,1,,Link,Chrome,mayu2,Default,34,0
https://steamcn.com/t377906-1-1,最近上淘宝买了个洋垃圾 - 开箱晒物 - SteamCN 蒸汽动力 - 驱动正版游戏的引擎！,2018/5/17 20:16:10,1,,Link,Chrome,mayu2,Default,31,0
http://www.vice.cn/read/where-can-i-buy-cd-without-imported-waste,没有了 “洋垃圾”，我还能去哪儿买碟？ | 异视异色｜VICE中国｜全球青年文化之声：世界在下沉，我们在狂欢,2018/5/17 20:16:05,1,,Link,Chrome,mayu2,Default,65,0
https://tieba.baidu.com/p/5703442831,夏普sh02g多少钱能买？【洋垃圾吧】_百度贴吧,2018/5/17 20:15:52,1,,Link,Chrome,mayu2,Default,36,0
https://www.google.com.hk/search?q=%E6%B4%8B%E5%9E%83%E5%9C%BE%E5%93%AA%E9%87%8C%E4%B9%B0&rlz=1C1CHWL_zh-CNJP736&oq=%E6%B4%8B%E5%9E%83%E5%9C%BE%E5%93%AA%E9%87%8C%E4%B9%B0&aqs=chrome..69i57j69i60l2&sourceid=chrome&ie=UTF-8,洋垃圾哪里买 - Google 搜索,2018/5/17 20:15:44,1,,Link,Chrome,mayu2,Default,221,0
https://tieba.baidu.com/f?kw=%E6%B4%8B%E5%9E%83%E5%9C%BE&fr=fenter&prequery=%E6%B4%8B%E5%9E%83%E5%9C%BE%E5%93%AA%E9%87%8C%E4%B9%B0,"洋垃圾吧-百度贴吧--洋垃圾手机及数码产品爱好者的天堂--洋垃圾吧旨在打造灵活创新有趣的原创手机产品资讯贴吧,为手机数码爱好者提供手机交流讨论平台,致力成为数码电子产品爱好者及业内人士的第一站。",2018/5/17 20:15:39,1,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%B4%8B%E5%9E%83%E5%9C%BE%E5%93%AA%E9%87%8C%E4%B9%B0&fr=search,Link,Chrome,mayu2,Default,130,0
https://tieba.baidu.com/f?ie=utf-8&kw=%E6%B4%8B%E5%9E%83%E5%9C%BE%E5%93%AA%E9%87%8C%E4%B9%B0&fr=search,"洋垃圾吧-百度贴吧--洋垃圾手机及数码产品爱好者的天堂--洋垃圾吧旨在打造灵活创新有趣的原创手机产品资讯贴吧,为手机数码爱好者提供手机交流讨论平台,致力成为数码电子产品爱好者及业内人士的第一站。",2018/5/17 20:15:39,1,,Link,Chrome,mayu2,Default,102,0
https://favorite.taobao.com/popup/add_collection.htm?itemtype=0&isTmall=&isAlitrip=&isLp=&isTaohua=&id=115715032&_tb_token_=5ee73e50833be&ua=108%23H1%2F%2F1%2F42%2FYAya7%2F2cb9DDWExT8iEcLd8nA3JIflrjpo%2FdLFH0crayqke1pdBhtuK7kLL%2FfrYVHBdlpvTnYvnVRFglEUSAK37h7H7gi0N7SrQo%2F35iYMO%2FiUij6o5qo8s788OM8aLmNdgSgd7Rbo%2Fqgb04vjhmWamxqMxOukLtR1Q0vp07Y%2B4K8laqBLlLRabUvuALZsjlj9pY5JO1eobCPP1NOqP9zKxoAJFfBIlnh2%2Fw8WjaESOL1akCwwhF8x7TwIw1eu3pPAbZ7Q4kUr%2FnqLt9QvgiMnYCZin4PlofcHeYWIb60H5B14do19EwTiSG2D24U%2FlYLc4d2S7Wbd4wOkFYkj%2FVTKJJgPSFNzEnBPvTMthsozwbbde4qK7yIhr7D5Oy6XzoWWV3gfVU27Fql81iovAmXWn4Mh1Hi7ZV%2F0y%2BqU1dMNGSbL7ECFqBCMYJS4uyUAcnL0Q%2Fw1fBAuGb2G3lT5sMVtX5vYqKuK8HQAtyZRM6APrLVxy3Wg0Iiv7CTY2XQu6yvHHYPd70F%2F9ctX9Ft69OWYGXpM01FVgzUk%2BDAJFV%2FuWJ4ztFYvtLyC%2BSqZDI4mfbQSDYFJwc53I1u50u7mHHlLYMYg8S5KfnpoYtUa9emtt65656o4lgNsMSIWTF0kjMjXywpSCqQ%2FJ33Tmvgw6su%2F%3D,,2018/5/17 20:15:01,1,,Manual Subframe,Chrome,mayu2,Default,869,0
https://favorite.taobao.com/popup/add_collection.htm?itemtype=0&isTmall=&isAlitrip=&isLp=&isTaohua=&id=36027216&_tb_token_=5ee73e50833be&ua=108%23aNb%2F1%2Fzz%2FYIDyFPccbUpDWExyqNUcLd8nA3JIfl%2Bd0o%2FLLFH0craZU%2Fe1pdBhtuK7krv1j0XqgidlpvTnYvnVRFglEUSAK37h7H7gi0N7SrQo%2F35iYMO%2FiUij6o5qo8s7HbbXa3zqhmv1nKLzsssC9EAtHwD2QTZdlDkOnsjCIvxk%2FoSi3tFuCXReizAi1CEAiOR2RzoCpvU%2BM47fEH%2F26ftQfooZxcvlTIRkjZqRQLT6ftGsM4%2FnRbEsfD%2BDvfwMGSvdnI42%2BDBfrJ0LY%2Bjk0HUwtSq6el1bFMPKjdA4IVhMR3WBwEUZwp4szqqXjbxx0KpowmtFJ4G7qHae9XzijUPeQJsqxv6q4JWaIFDt%2Bb0CWah29k7PDOSZuxe2hgYWmZ%2Bombhs4FzoFGoF05p0JyPFi6p%2BtRIGCnzw%2B7gNAbxRymD0VoY0hHhtJUNer9D0pjZ6qqsEikDNA1yirE5gUdO15L%2FG8v%2BAuWhp25jmqzaE7BBK5ql0GiSbxScP14SNmupRxrypPu1zcZTfYaQgyKhwSeOdMPf2UYlzJa52W%2FCVP7zaHOR1WUQ0%2FcjY%2FjNGAyu47keRL%2BKgaaek1Im5%2BB4kry0XLX0l0X5uTLa%2FFI8EKhT4QJDJ79xVRR4%2FJOG0qV%2FRNRK34NrxHGRLyXsokKujfwevpE1zYMM3LKeMdfdMJMKEb8sWwuxqLqoHjcdAhOjTkM2uw%2FLotvWx2LSKlkAogLR8MW6%2FifVbzD1wIQVcl%2BXUJ04FKaJeVGe9iHt9tmt6YL18sT5QmkEXit7ECyWal%2F6,,2018/5/17 20:14:26,1,,Manual Subframe,Chrome,mayu2,Default,1008,0
